AGE_GROUP,PERP_SEX,PERP_RACE,ARREST_YEAR,ARREST_BORO,PD_DESC
18-24,F,WHITE HISPANIC,2024,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2024,Q,PROSTITUTION
65+,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
18-24,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,WHITE,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,M,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2024,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
18-24,F,BLACK,2023,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2023,Q,PROSTITUTION
18-24,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2023,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
18-24,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,M,ASIAN / PACIFIC ISLANDER,2023,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2022,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2022,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
18-24,F,BLACK,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
18-24,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
18-24,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,BLACK,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
65+,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,BLACK,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,BLACK,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
18-24,M,BLACK,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,BLACK HISPANIC,2021,Q,PROSTITUTION